"season","num_teams","reg_games","playoff_rounds","start_day","end_day"
"2003","30","82","4","2003-10-08","2004-06-07"
"2005","30","82","4","2005-10-05","2006-06-19"
"2006","30","82","4","2006-10-04","2007-06-06"
"2007","30","82","4","2007-09-29","2008-06-04"
"2008","30","82","4","2008-10-04","2009-06-12"
"2009","30","82","4","2009-10-01","2010-06-09"
"2010","30","82","4","2010-10-07","2011-06-15"
"2011","30","82","4","2011-10-06","2012-06-11"
"2012","30","48","4","2013-01-19","2013-06-24"
"2013","30","82","4","2013-10-01","2014-06-13"
"2014","30","82","4","2014-10-08","2015-06-15"
"2015","30","82","4","2015-10-07","2016-06-12"
"2016","30","82","4","2016-10-12","2017-06-11"
"2017","31","82","4","2017-10-04","2018-06-07"
"2018","31","82","4","2018-10-03","2019-06-13"
"2019","31","71","5","2019-10-02","2020-09-28"
"2020","31","56","4","2021-01-13","2021-07-07"
"2021","32","82","4","2021-10-12","2022-06-26"
"2022","32","82","4","2022-10-07","2023-04-14"
